PG,PG,SG,SG,SF,SF,PF,PF,C
30677-9575,30677-66108,30677-40201,30677-20640,30677-14522,30677-80811,30677-15755,30677-80809,30677-9473
30677-9575,30677-49675,30677-15595,30677-40201,30677-14522,30677-80811,30677-15755,30677-80809,30677-9473
30677-66108,30677-49675,30677-15595,30677-40201,30677-14522,30677-80811,30677-15755,30677-20992,30677-9473
30677-9575,30677-16071,30677-15595,30677-20640,30677-14522,30677-80811,30677-15755,30677-80809,30677-9473
30677-9575,30677-49675,30677-15595,30677-40201,30677-14522,30677-80811,30677-15755,30677-80809,30677-9473
30677-9575,30677-66108,30677-40201,30677-20640,30677-16233,30677-80811,30677-15755,30677-80809,30677-9473
30677-9575,30677-66108,30677-40201,30677-20640,30677-14522,30677-70822,30677-15755,30677-80809,30677-9473
30677-9575,30677-66108,30677-40201,30677-20640,30677-12341,30677-14522,30677-9688,30677-80809,30677-9473
30677-66108,30677-49675,30677-15595,30677-40201,30677-14522,30677-80811,30677-15755,30677-20992,30677-9473
30677-9575,30677-66108,30677-40201,30677-20640,30677-14522,30677-80811,30677-15755,30677-80809,30677-37931
