,Pct_Good
2018-10-16,0.5384615384615384
2018-10-17,0.19402985074626866
2018-10-18,0.5789473684210527
2018-10-19,0.16363636363636364
2018-10-20,0.1774193548387097
2018-10-21,0.38461538461538464
2018-10-22,0.10714285714285714
2018-10-23,0.47368421052631576
2018-10-24,0.14705882352941177
2018-10-25,0.44
2018-10-26,0.20454545454545456
2018-10-27,0.17543859649122806
2018-10-28,0.38461538461538464
2018-10-29,0.22413793103448276
2018-10-30,0.16326530612244897
2018-10-31,0.25
2018-11-01,0.2564102564102564
2018-11-02,0.28
2018-11-03,0.2549019607843137
2018-11-04,0.1590909090909091
2018-11-05,0.23214285714285715
2018-11-06,0.34615384615384615
2018-11-07,0.1935483870967742
2018-11-08,0.4444444444444444
2018-11-09,0.29545454545454547
2018-11-10,0.15625
2018-11-11,0.18421052631578946
2018-11-12,0.19642857142857142
2018-11-13,0.42105263157894735
2018-11-14,0.16176470588235295
2018-11-15,0.55
2018-11-16,0.16666666666666666
2018-11-17,0.15873015873015872
2018-11-18,0.36666666666666664
2018-11-19,0.14285714285714285
2018-11-20,0.375
2018-11-21,0.14814814814814814
2018-11-23,0.10344827586206896
2018-11-24,0.19047619047619047
2018-11-25,0.22916666666666666
2018-11-26,0.2727272727272727
2018-11-27,0.3225806451612903
2018-11-28,0.14516129032258066
2018-11-29,0.3684210526315789
2018-11-30,0.16417910447761194
2018-12-01,0.21428571428571427
2018-12-02,0.15789473684210525
2018-12-03,0.20930232558139536
2018-12-04,0.25806451612903225
2018-12-05,0.16129032258064516
2018-12-06,0.42105263157894735
2018-12-07,0.22950819672131148
2018-12-08,0.2641509433962264
2018-12-09,0.34615384615384615
2018-12-10,0.16923076923076924
2018-12-11,0.2777777777777778
2018-12-12,0.16176470588235295
2018-12-13,0.4
2018-12-14,0.14285714285714285
2018-12-15,0.13953488372093023
2018-12-16,0.2926829268292683
2018-12-17,0.18
2018-12-18,0.4166666666666667
2018-12-19,0.14666666666666667
2018-12-20,0.8461538461538461
2018-12-22,0.18604651162790697
2018-12-23,0.10294117647058823
2018-12-25,0.3225806451612903
2018-12-26,0.1864406779661017
2018-12-27,0.36666666666666664
2018-12-28,0.16666666666666666
2018-12-29,0.18518518518518517
2018-12-30,0.2777777777777778
2018-12-31,0.23255813953488372
2019-01-01,0.34375
2019-01-02,0.21818181818181817
2019-01-03,0.6111111111111112
2019-01-04,0.26229508196721313
2019-01-05,0.25
2019-01-06,0.25
2019-01-07,0.16666666666666666
2019-01-08,0.14
2019-01-09,0.2
2019-01-10,0.4
2019-01-11,0.15789473684210525
2019-01-12,0.20408163265306123
2019-01-13,0.3023255813953488
2019-01-14,0.32432432432432434
2019-01-15,0.3333333333333333
2019-01-16,0.22
2019-01-17,0.23684210526315788
2019-01-18,0.2222222222222222
2019-01-19,0.15625
2019-01-20,0.6
2019-01-21,0.19117647058823528
2019-01-22,0.34615384615384615
2019-01-23,0.22950819672131148
2019-01-24,0.34782608695652173
2019-01-25,0.22950819672131148
2019-01-26,0.25
2019-01-27,0.14814814814814814
2019-01-28,0.3225806451612903
2019-01-29,0.2619047619047619
2019-01-30,0.20408163265306123
2019-01-31,0.35135135135135137
2019-02-01,0.22580645161290322
2019-02-02,0.1111111111111111
2019-02-03,0.47368421052631576
2019-02-04,0.2777777777777778
2019-02-05,0.18
2019-02-06,0.23255813953488372
2019-02-07,0.2702702702702703
2019-02-08,0.23529411764705882
2019-02-09,0.19642857142857142
2019-02-10,0.25
2019-02-11,0.1724137931034483
2019-02-12,0.22580645161290322
2019-02-13,0.16176470588235295
2019-02-14,0.3157894736842105
2019-02-21,0.2702702702702703
2019-02-22,0.21428571428571427
2019-02-23,0.14864864864864866
2019-02-24,0.3157894736842105
2019-02-25,0.10294117647058823
2019-02-26,0.5
2019-02-27,0.2028985507246377
2019-02-28,0.16666666666666666
2019-03-01,0.22727272727272727
2019-03-02,0.15789473684210525
2019-03-03,0.22448979591836735
2019-03-04,0.3181818181818182
2019-03-05,0.2631578947368421
2019-03-06,0.11290322580645161
2019-03-07,0.38461538461538464
2019-03-08,0.17857142857142858
2019-03-09,0.25
2019-03-10,0.19642857142857142
2019-03-11,0.2222222222222222
2019-03-12,0.17777777777777778
2019-03-13,0.3684210526315789
2019-03-14,0.32432432432432434
2019-03-15,0.18
2019-03-16,0.24
2019-03-17,0.22
2019-03-18,0.21428571428571427
2019-03-19,0.28205128205128205
2019-03-20,0.2222222222222222
2019-03-21,0.15789473684210525
2019-03-22,0.18181818181818182
2019-03-23,0.22
2019-03-24,0.2037037037037037
2019-03-25,0.36
2019-03-26,0.16129032258064516
2019-03-27,0.3548387096774194
2019-03-28,0.2
2019-03-29,0.16666666666666666
2019-03-30,0.19642857142857142
2019-03-31,0.27906976744186046
2019-04-01,0.17857142857142858
2019-04-02,0.38461538461538464
2019-04-03,0.12162162162162163
2019-04-04,0.42105263157894735
2019-04-05,0.16455696202531644
2019-04-06,0.6923076923076923
2019-04-07,0.08139534883720931
2019-04-09,0.16417910447761194
2019-04-10,0.16417910447761194
