,Avg Total FD Pts
2018-10-16,305.15999999999985
2018-10-17,329.2399999999999
2018-10-18,293.3399999999999
2018-10-19,316.8200000000001
2018-10-20,342.5499999999999
2018-10-21,315.33000000000004
2018-10-22,263.49999999999994
2018-10-23,312.47999999999996
2018-10-24,288.69999999999993
2018-10-25,269.33000000000004
2018-10-26,277.7
2018-10-27,242.45999999999998
2018-10-28,282.52
2018-10-29,331.79999999999995
2018-10-30,309.6000000000002
2018-10-31,283.53000000000003
2018-11-01,306.31999999999994
2018-11-02,298.9200000000001
2018-11-03,307.41000000000014
2018-11-04,211.66000000000003
2018-11-05,291.34
2018-11-06,247.43000000000006
2018-11-07,281.91
2018-11-08,320.83999999999986
2018-11-09,329.20000000000005
2018-11-10,301.57000000000005
2018-11-11,226.45999999999995
2018-11-12,293.40999999999997
2018-11-13,261.0300000000001
2018-11-14,262.4799999999999
2018-11-15,250.58
2018-11-16,323.91999999999996
2018-11-17,253.56999999999994
2018-11-18,315.44999999999993
2018-11-19,248.0
2018-11-20,260.33
2018-11-21,330.94000000000005
2018-11-22,0.0
2018-11-23,243.43
2018-11-24,317.12
2018-11-25,313.94
2018-11-26,329.1200000000002
2018-11-27,265.63
2018-11-28,269.85999999999996
2018-11-29,284.3599999999999
2018-11-30,282.38000000000017
2018-12-01,263.67999999999984
2018-12-02,279.40999999999997
2018-12-03,315.21999999999974
2018-12-04,242.48999999999995
2018-12-05,334.48000000000013
2018-12-06,221.53000000000006
2018-12-07,293.13999999999993
2018-12-08,307.2000000000001
2018-12-09,247.03000000000006
2018-12-10,270.8000000000002
2018-12-11,197.89000000000004
2018-12-12,329.7099999999999
2018-12-13,250.08999999999997
2018-12-14,266.06
2018-12-15,272.82000000000005
2018-12-16,318.4700000000002
2018-12-17,232.66000000000017
2018-12-18,284.9799999999998
2018-12-19,284.08999999999986
2018-12-20,275.0399999999999
2018-12-21,0.0
2018-12-22,332.95
2018-12-23,290.43
2018-12-24,0.0
2018-12-25,255.61000000000007
2018-12-26,299.28
2018-12-27,309.9
2018-12-28,310.30999999999995
2018-12-29,270.26999999999987
2018-12-30,262.8000000000003
2018-12-31,311.8100000000001
2019-01-01,273.74999999999983
2019-01-02,312.96
2019-01-03,310.95000000000005
2019-01-04,321.0100000000002
2019-01-05,304.1799999999999
2019-01-06,281.89999999999986
2019-01-07,309.11
2019-01-08,265.30000000000007
2019-01-09,319.10999999999984
2019-01-10,342.4899999999999
2019-01-11,313.05000000000007
2019-01-12,290.49
2019-01-13,317.4599999999999
2019-01-14,296.17
2019-01-15,288.2899999999999
2019-01-16,311.4500000000002
2019-01-17,286.4100000000001
2019-01-18,274.72999999999996
2019-01-19,300.71999999999986
2019-01-20,268.6800000000002
2019-01-21,294.0100000000001
2019-01-22,271.8199999999998
2019-01-23,329.49999999999994
2019-01-24,268.4699999999999
2019-01-25,292.82000000000005
2019-01-26,288.2199999999998
2019-01-27,246.56000000000003
2019-01-28,251.58999999999992
2019-01-29,321.86
2019-01-30,274.0799999999999
2019-01-31,322.40999999999997
2019-02-01,252.6
2019-02-02,290.82000000000005
2019-02-03,249.22999999999996
2019-02-04,287.3099999999999
2019-02-05,332.12
2019-02-06,328.09
2019-02-07,306.56000000000006
2019-02-08,291.7899999999999
2019-02-09,282.12
2019-02-10,277.6999999999998
2019-02-11,283.5099999999999
2019-02-12,278.2599999999999
2019-02-13,304.8899999999999
2019-02-14,223.36000000000018
2019-02-15,0.0
2019-02-16,0.0
2019-02-17,0.0
2019-02-18,0.0
2019-02-19,0.0
2019-02-20,0.0
2019-02-21,294.67999999999995
2019-02-22,328.1200000000002
2019-02-23,277.92999999999995
2019-02-24,252.85000000000005
2019-02-25,293.84999999999997
2019-02-26,259.29
2019-02-27,370.59000000000003
2019-02-28,292.4899999999999
2019-03-01,275.4799999999999
2019-03-02,239.20999999999998
2019-03-03,268.9700000000002
2019-03-04,325.35999999999973
2019-03-05,254.28000000000003
2019-03-06,221.74999999999994
2019-03-07,283.96
2019-03-08,316.99000000000007
2019-03-09,305.4399999999998
2019-03-10,305.48999999999995
2019-03-11,277.7900000000001
2019-03-12,275.6900000000001
2019-03-13,237.21999999999994
2019-03-14,314.9399999999999
2019-03-15,282.05999999999983
2019-03-16,330.82
2019-03-17,264.0099999999999
2019-03-18,310.07000000000016
2019-03-19,274.03999999999996
2019-03-20,260.95999999999987
2019-03-21,236.13000000000005
2019-03-22,256.8400000000001
2019-03-23,329.7000000000001
2019-03-24,277.39999999999986
2019-03-25,309.8299999999999
2019-03-26,317.28999999999996
2019-03-27,341.6700000000002
2019-03-28,297.03000000000003
2019-03-29,245.4900000000001
2019-03-30,307.03000000000003
2019-03-31,261.1000000000001
2019-04-01,315.11999999999983
2019-04-02,286.46999999999997
2019-04-03,241.3499999999999
2019-04-04,229.81000000000012
2019-04-05,330.94999999999993
2019-04-06,302.83000000000015
2019-04-07,251.06999999999988
2019-04-08,0.0
2019-04-09,323.16999999999996
2019-04-10,325.5600000000001
